ID_рейса,Дата,Регион_отправления,Регион_назначения,Тип_груза,Вид_транспорта,Перевозчик,Вес_тонн,Расстояние_км,Стоимость_тенге
HYR-20250052,2025-11-16 16:17,Порт Роттердам (Нидерланды),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Морской фрахт,Kuryk Port Logistics,11.35,3761,1375500.0
HYR-20250053,2025-11-16 06:53,Астана (Логистический хаб),Жанаозен,Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,11.79,2379,1197900.0
HYR-20250054,2025-05-25 15:01,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Модули электролизеров (Водород),Морской фрахт,Caspian Sea Logistics,43.64,731,1276400.0
HYR-20250055,2025-08-25 20:57,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Ж/Д транспорт,Svevind Global Transport,9.97,660,261500.0
HYR-20250056,2025-08-07 20:19,Порт Роттердам (Нидерланды),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,14.3,3502,1804900.0
HYR-20250057,2025-04-30 07:49,Астана (Логистический хаб),Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Морской фрахт,Mangystau Cargo Express,42.46,659,990100.0
HYR-20250058,2025-07-08 18:36,Порт Актау,Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Трал),KazMano-Trans LLC,31.29,255,318400.0
HYR-20250059,2025-11-01 20:14,Порт Роттердам (Нидерланды),Жанаозен,Зеленый аммиак (ЖД цистерны),Морской фрахт,Mangystau Cargo Express,38.68,4272,5314900.0
HYR-20250060,2025-05-21 11:23,Порт Актау,Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,63.62,96,215900.0
HYR-20250061,2025-05-17 15:29,Порт Актау,Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,SilkWay Heavy Haulage,42.92,394,678800.0
HYR-20250062,2025-06-04 23:25,Порт Роттердам (Нидерланды),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,40.45,4181,5474600.0
HYR-20250063,2025-12-05 19:19,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Автотранспорт (Трал),Caspian Sea Logistics,27.81,482,683900.0
HYR-20250064,2025-09-03 12:11,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,42.85,239,480300.0
HYR-20250065,2025-07-02 18:00,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Ж/Д транспорт,KazMano-Trans LLC,5.78,555,127000.0
HYR-20250066,2025-06-03 09:24,Порт Баку (Азербайджан),Астана (Логистический хаб),Оборудование опреснения воды,Ж/Д транспорт,Kuryk Port Logistics,38.44,710,921400.0
HYR-20250067,2025-01-17 03:27,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,Kuryk Port Logistics,9.13,1978,629400.0
HYR-20250068,2025-01-17 21:00,Атырау (Нефтемаш),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Mangystau Cargo Express,18.21,174,104600.0
HYR-20250069,2025-11-21 12:01,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Ж/Д транспорт,Svevind Global Transport,38.79,3793,6005900.0
HYR-20250070,2025-08-31 07:51,Астана (Логистический хаб),Атырау (Нефтемаш),Оборудование опреснения воды,Автотранспорт (Трал),Kuryk Port Logistics,45.08,1904,3481600.0
HYR-20250071,2025-07-10 12:09,Жанаозен,Порт Баку (Азербайджан),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,28.09,764,775600.0
HYR-20250072,2025-10-28 05:15,Порт Актау,Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Морской фрахт,Kuryk Port Logistics,30.14,584,917300.0
HYR-20250073,2025-12-25 17:48,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,34.88,124,233700.0
HYR-20250074,2025-06-14 07:04,Порт Баку (Азербайджан),Порт Актау,Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,50.54,692,1653700.0
HYR-20250075,2025-09-19 17:36,Порт Роттердам (Нидерланды),Атырау (Нефтемаш),Спецтехника и металлоконструкции,Автотранспорт (Трал),Svevind Global Transport,6.06,3889,1183500.0
HYR-20250076,2025-02-04 00:24,Порт Актау,ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Трал),SilkWay Heavy Haulage,31.82,177,204900.0
HYR-20250077,2025-07-30 08:38,Порт Актау,Астана (Логистический хаб),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Caspian Sea Logistics,5.86,2110,576500.0
HYR-20250078,2025-07-03 19:52,Жанаозен,ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Трал),Caspian Sea Logistics,24.15,411,312200.0
HYR-20250079,2025-03-25 10:31,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,36.19,257,502300.0
HYR-20250080,2025-11-13 12:48,Астана (Логистический хаб),Порт Актау,Солнечные панели и инверторы,Ж/Д транспорт,Svevind Global Transport,9.8,2317,1061700.0
HYR-20250081,2025-04-03 21:27,Жанаозен,Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,34.11,3556,4599700.0
HYR-20250082,2025-04-05 16:10,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Трал),KazMano-Trans LLC,60.47,131,390700.0
HYR-20250083,2025-11-30 20:34,Порт Актау,Астана (Логистический хаб),Зеленый аммиак (ЖД цистерны),Морской фрахт,Svevind Global Transport,46.12,2069,4237500.0
HYR-20250084,2025-07-29 11:28,Порт Баку (Азербайджан),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,51.94,458,937400.0
HYR-20250085,2025-01-10 17:06,Порт Баку (Азербайджан),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,39.82,658,1372700.0
HYR-20250086,2025-03-31 19:12,Жанаозен,Промзона Курык (Hyrasia HQ),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,58.78,232,498800.0
HYR-20250087,2025-01-09 19:06,Атырау (Нефтемаш),Порт Баку (Азербайджан),Модули электролизеров (Водород),Автотранспорт (Трал),SilkWay Heavy Haulage,13.81,516,432500.0
HYR-20250088,2025-07-28 21:24,ВИЭ-Кластер Рахым (Мангистау),ВИЭ-Кластер Абай (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,31.99,234,292000.0
HYR-20250089,2025-04-04 11:53,Промзона Курык (Hyrasia HQ),Жанаозен,Оборудование опреснения воды,Морской фрахт,SilkWay Heavy Haulage,40.82,197,320100.0
HYR-20250090,2025-07-20 16:38,Порт Роттердам (Нидерланды),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,Caspian Sea Logistics,57.41,3774,10540400.0
HYR-20250091,2025-07-17 18:46,Порт Роттердам (Нидерланды),Жанаозен,Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,23.48,3852,4771400.0
HYR-20250092,2025-01-22 04:55,ВИЭ-Кластер Рахым (Мангистау),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Caspian Sea Logistics,5.07,2145,371600.0
HYR-20250093,2025-09-18 21:53,Порт Актау,Атырау (Нефтемаш),Спецтехника и металлоконструкции,Автотранспорт (Трал),Caspian Sea Logistics,63.46,314,735700.0
HYR-20250094,2025-09-01 22:39,Астана (Логистический хаб),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,6.56,1735,480200.0
HYR-20250095,2025-12-06 23:30,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Модули электролизеров (Водород),Морской фрахт,SilkWay Heavy Haulage,14.14,151,96800.0
HYR-20250096,2025-11-14 01:11,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Svevind Global Transport,30.32,628,793900.0
HYR-20250097,2025-07-09 15:49,Атырау (Нефтемаш),Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,34.78,596,1039300.0
HYR-20250098,2025-01-18 00:58,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Автотранспорт (Трал),KazMano-Trans LLC,55.07,715,1937300.0
HYR-20250099,2025-05-21 01:04,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,Mangystau Cargo Express,31.87,329,420800.0
HYR-20250100,2025-12-08 03:14,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,37.85,222,260600.0
HYR-20250101,2025-04-07 15:42,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Трал),SilkWay Heavy Haulage,17.0,2185,1295000.0
HYR-20250102,2025-11-25 03:25,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),KazMano-Trans LLC,39.15,293,483800.0
HYR-20250103,2025-04-20 22:58,Порт Баку (Азербайджан),Атырау (Нефтемаш),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Svevind Global Transport,25.9,638,878900.0
HYR-20250104,2025-05-08 19:44,Атырау (Нефтемаш),Порт Актау,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,10.92,337,162600.0
HYR-20250105,2025-05-29 15:00,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Оборудование опреснения воды,Автотранспорт (Трал),Mangystau Cargo Express,61.79,3541,9465200.0
HYR-20250106,2025-03-24 18:16,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Солнечные панели и инверторы,Ж/Д транспорт,SilkWay Heavy Haulage,9.9,1787,850900.0
HYR-20250107,2025-06-01 11:26,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Mangystau Cargo Express,45.67,215,332000.0
HYR-20250108,2025-06-02 01:29,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Ж/Д транспорт,KazMano-Trans LLC,59.49,4426,8866200.0
HYR-20250109,2025-03-27 00:09,Порт Роттердам (Нидерланды),Порт Актау,Оборудование опреснения воды,Автотранспорт (Трал),SilkWay Heavy Haulage,15.75,3777,2298300.0
HYR-20250110,2025-06-26 02:58,Атырау (Нефтемаш),Астана (Логистический хаб),Модули электролизеров (Водород),Морской фрахт,Caspian Sea Logistics,19.23,2042,2154700.0
HYR-20250111,2025-02-04 17:35,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,30.6,336,533600.0
HYR-20250112,2025-03-26 18:56,Жанаозен,ВИЭ-Кластер Абай (Мангистау),Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,22.67,319,339900.0
HYR-20250113,2025-05-09 17:00,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,50.54,706,1419400.0
HYR-20250114,2025-03-18 20:47,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,25.29,1732,1921500.0
HYR-20250115,2025-10-13 15:57,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,64.15,3527,8504700.0
HYR-20250116,2025-03-15 12:38,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Трал),KazMano-Trans LLC,56.53,248,656900.0
HYR-20250117,2025-05-18 16:46,Порт Баку (Азербайджан),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,KazMano-Trans LLC,58.72,489,1555300.0
HYR-20250118,2025-04-25 12:19,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Svevind Global Transport,8.82,121,35200.0
HYR-20250119,2025-08-14 12:47,ВИЭ-Кластер Рахым (Мангистау),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Автотранспорт (Трал),Svevind Global Transport,15.58,287,158200.0
HYR-20250120,2025-09-21 21:09,Астана (Логистический хаб),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Svevind Global Transport,15.16,777,532600.0
HYR-20250121,2025-10-16 13:15,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,45.32,374,802800.0
HYR-20250122,2025-01-31 06:25,Астана (Логистический хаб),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Mangystau Cargo Express,5.71,2057,380600.0
HYR-20250123,2025-09-15 21:29,Атырау (Нефтемаш),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),SilkWay Heavy Haulage,53.39,230,616500.0
HYR-20250124,2025-02-14 11:24,Порт Баку (Азербайджан),Жанаозен,Оборудование опреснения воды,Автотранспорт (Трал),Svevind Global Transport,37.82,677,1295800.0
HYR-20250125,2025-11-04 03:36,Астана (Логистический хаб),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,38.98,1717,4668600.0
HYR-20250126,2025-03-18 01:56,Порт Актау,Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,37.24,3712,6509400.0
HYR-20250127,2025-05-20 01:15,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Модули электролизеров (Водород),Морской фрахт,KazMano-Trans LLC,37.12,250,485900.0
HYR-20250128,2025-01-19 00:19,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Оборудование опреснения воды,Автотранспорт (Трал),Mangystau Cargo Express,16.87,41,36700.0
HYR-20250129,2025-04-17 04:26,Порт Актау,Атырау (Нефтемаш),Оборудование опреснения воды,Морской фрахт,Svevind Global Transport,21.99,133,155600.0
HYR-20250130,2025-07-20 04:09,Порт Роттердам (Нидерланды),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,KazMano-Trans LLC,34.26,4356,5158000.0
HYR-20250131,2025-02-22 14:46,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Модули электролизеров (Водород),Ж/Д транспорт,Mangystau Cargo Express,45.67,4421,9280300.0
HYR-20250132,2025-10-11 23:23,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Оборудование опреснения воды,Ж/Д транспорт,SilkWay Heavy Haulage,21.32,334,278400.0
HYR-20250133,2025-10-16 07:52,Жанаозен,Порт Актау,Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,53.37,56,235600.0
HYR-20250134,2025-09-26 22:21,Промзона Курык (Hyrasia HQ),Жанаозен,Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,53.64,278,618900.0
HYR-20250135,2025-11-12 16:29,Порт Актау,Жанаозен,Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Svevind Global Transport,21.43,55,40200.0
HYR-20250136,2025-04-06 17:28,ВИЭ-Кластер Абай (Мангистау),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Ж/Д транспорт,SilkWay Heavy Haulage,38.6,194,501300.0
HYR-20250137,2025-03-30 20:28,Порт Баку (Азербайджан),Жанаозен,Спецтехника и металлоконструкции,Морской фрахт,KazMano-Trans LLC,25.94,576,640800.0
HYR-20250138,2025-10-07 15:30,Порт Актау,Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,KazMano-Trans LLC,16.44,170,120100.0
HYR-20250139,2025-12-13 13:26,Жанаозен,ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,53.36,337,712900.0
HYR-20250140,2025-11-10 09:09,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,64.49,102,334800.0
